=== Android Logcat 캡처 ===
=== 저장 시각: 2026-09-27 02:52:05 ===
=== 대상 기기: SM_S901N (R3CTA0SSZ4Z) ===

--------- beginning of main
09-27 02:43:05.804 30575 30610 I Unity   : Syste
09-27 02:43:05.805 30575 30610 I Unity   : SetGameState: isLoading: false, mode: UNKNOWN, label: 1, quality: 0
09-27 02:43:06.863 30575 30610 I Unity   : SetGameState: isLoading: true, mode: UNKNOWN, label: -4, quality: 0
09-27 02:43:07.269 30575 30610 I Unity   : [02:43:07.261] [INFO] [Network/RelayManager] Relay 참가 시도 | RelayJoinCode=RQ8HDK
09-27 02:43:07.269 30575 30610 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
09-27 02:43:07.269 30575 30610 I Unity   : Hexiege.Infrastructure.ConsoleSink:Write(LogLevel, String, String, String, String, Exception)
09-27 02:43:07.269 30575 30610 I Unity   : Hexiege.Application.GameLog:Emit(LogLevel, Nullable`1, String, String, String, String, Exception)
09-27 02:43:07.269 30575 30610 I Unity   : Hexiege.Infrastructure.<JoinRelayAsync>d__3:MoveNext()
09-27 02:43:07.269 30575 30610 I Unity   : System.Runtime.CompilerServices.AsyncTaskMethodBuilder`1:Start(TStateMachine&)
09-27 02:43:07.269 30575 30610 I Unity   : Hexiege.Infrastructure.RelayManager:JoinRelayAsync(String)
09-27 02:43:07.269 30575 30610 I Unity   : Hexiege.Infrastructure.<JoinMatchmadeGameAsync>d__52:MoveNext()
09-27 02:43:07.269 30575 30610 I Unity   : System.Threading.ExecutionContext:RunInternal(ExecutionContext, ContextCallback, Object, Boolean)
09-27 02:43:07.269 30575 30610 I Unity   : System.Runtime.CompilerServices.MoveNextRunner:Run()
09-27 02:43:07.269 30575 30610 I Unity   : System.Threading.Tasks.AwaitTaskContinuation:RunCallback(ContextCallback, Object, Task&)
09-27 02:43:07.269 30575 30610 I Unity   : System.Threading.Tasks.Task:FinishContinuations()
09-27 02:43:07.269 30575 30610 I Unity   : System.Threading.Tasks.Task`1:TrySetResult(TResult)
09-27 02:43:07.269 30575 30610 I Unity   : System.Runtime.CompilerServices.AsyncTaskMethodBuilder`1:SetResult(
09-27 02:43:07.282 30575 30610 I Unity   : SetGameState: isLoading: false, mode: UNKNOWN, label: 1, quality: 0
09-27 02:43:07.284 30575 30610 I Unity   : SetGameState: isLoading: true, mode: UNKNOWN, label: -4, quality: 0
09-27 02:43:07.956 30575 30610 I Unity   : [02:43:07.954] [INFO] [Network/RelayManager] Relay 참가 할당 획득 완료
09-27 02:43:07.956 30575 30610 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
09-27 02:43:07.956 30575 30610 I Unity   : Hexiege.Infrastructure.ConsoleSink:Write(LogLevel, String, String, String, String, Exception)
09-27 02:43:07.956 30575 30610 I Unity   : Hexiege.Application.GameLog:Emit(LogLevel, Nullable`1, String, String, String, String, Exception)
09-27 02:43:07.956 30575 30610 I Unity   : Hexiege.Infrastructure.<JoinRelayAsync>d__3:MoveNext()
09-27 02:43:07.956 30575 30610 I Unity   : System.Threading.ExecutionContext:RunInternal(ExecutionContext, ContextCallback, Object, Boolean)
09-27 02:43:07.956 30575 30610 I Unity   : System.Runtime.CompilerServices.MoveNextRunner:Run()
09-27 02:43:07.956 30575 30610 I Unity   : System.Threading.Tasks.AwaitTaskContinuation:RunCallback(ContextCallback, Object, Task&)
09-27 02:43:07.956 30575 30610 I Unity   : System.Threading.Tasks.Task:FinishContinuations()
09-27 02:43:07.956 30575 30610 I Unity   : System.Threading.Tasks.Task`1:TrySetResult(TResult)
09-27 02:43:07.956 30575 30610 I Unity   : System.Runtime.CompilerServices.AsyncTaskMethodBuilder`1:SetResult(TResult)
09-27 02:43:07.956 30575 30610 I Unity   : Unity.Services.Relay.<JoinAllocationAsync>d__12:MoveNext()
09-27 02:43:07.956 30575 30610 I Unity   : System.Threading.ExecutionContext:RunInternal(ExecutionContext, ContextCallback, Object, Boolean)
09-27 02:43:07.956 30575 30610 I Unity   : System.Runtime.CompilerServices.MoveNextRunne
09-27 02:43:07.989 30575 30610 I Unity   : [02:43:07.988] [INFO] [Network/RelayManager] UnityTransport Client 설정 완료
09-27 02:43:07.989 30575 30610 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
09-27 02:43:07.989 30575 30610 I Unity   : Hexiege.Infrastructure.ConsoleSink:Write(LogLevel, String, String, String, String, Exception)
09-27 02:43:07.989 30575 30610 I Unity   : Hexiege.Application.GameLog:Emit(LogLevel, Nullable`1, String, String, String, String, Exception)
09-27 02:43:07.989 30575 30610 I Unity   : Hexiege.Infrastructure.RelayManager:SetTransportAsClient(JoinAllocation)
09-27 02:43:07.989 30575 30610 I Unity   : Hexiege.Infrastructure.<JoinRelayAsync>d__3:MoveNext()
09-27 02:43:07.989 30575 30610 I Unity   : System.Threading.ExecutionContext:RunInternal(ExecutionContext, ContextCallback, Object, Boolean)
09-27 02:43:07.989 30575 30610 I Unity   : System.Runtime.CompilerServices.MoveNextRunner:Run()
09-27 02:43:07.989 30575 30610 I Unity   : System.Threading.Tasks.AwaitTaskContinuation:RunCallback(ContextCallback, Object, Task&)
09-27 02:43:07.989 30575 30610 I Unity   : System.Threading.Tasks.Task:FinishContinuations()
09-27 02:43:07.989 30575 30610 I Unity   : System.Threading.Tasks.Task`1:TrySetResult(TResult)
09-27 02:43:07.989 30575 30610 I Unity   : System.Runtime.CompilerServices.AsyncTaskMethodBuilder`1:SetResult(TResult)
09-27 02:43:07.989 30575 30610 I Unity   : Unity.Services.Relay.<JoinAllocationAsync>d__12:MoveNext()
09-27 02:43:07.989 30575 30610 I Unity   : System.Threading.ExecutionContext:RunInternal(ExecutionContext, Cont
09-27 02:43:08.156 30575 30610 D Unity   : Failed to load native plugin: Unable to lookup library path for '_burst_0_0'.
09-27 02:43:08.191 30575 30610 I Unity   : [02:43:08.190] [INFO] [Network/NetworkGameManager] NetworkManager.StartClient() 성공
09-27 02:43:08.191 30575 30610 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
09-27 02:43:08.191 30575 30610 I Unity   : Hexiege.Infrastructure.ConsoleSink:Write(LogLevel, String, String, String, String, Exception)
09-27 02:43:08.191 30575 30610 I Unity   : Hexiege.Application.GameLog:Emit(LogLevel, Nullable`1, String, String, String, String, Exception)
09-27 02:43:08.191 30575 30610 I Unity   : Hexiege.Infrastructure.NetworkGameManager:StartNetworkClient()
09-27 02:43:08.191 30575 30610 I Unity   : Hexiege.Infrastructure.<JoinMatchmadeGameAsync>d__52:MoveNext()
09-27 02:43:08.191 30575 30610 I Unity   : System.Threading.ExecutionContext:RunInternal(ExecutionContext, ContextCallback, Object, Boolean)
09-27 02:43:08.191 30575 30610 I Unity   : System.Runtime.CompilerServices.MoveNextRunner:Run()
09-27 02:43:08.191 30575 30610 I Unity   : System.Threading.Tasks.AwaitTaskContinuation:RunCallback(ContextCallback, Object, Task&)
09-27 02:43:08.191 30575 30610 I Unity   : System.Threading.Tasks.Task:FinishContinuations()
09-27 02:43:08.191 30575 30610 I Unity   : System.Threading.Tasks.Task`1:TrySetResult(TResult)
09-27 02:43:08.191 30575 30610 I Unity   : System.Runtime.CompilerServices.AsyncTaskMethodBuilder`1:SetResult(TResult)
09-27 02:43:08.191 30575 30610 I Unity   : Hexiege.Infrastructure.<JoinRelayAsync>d__3:MoveNext()
09-27 02:43:08.191 30575 30610 I Unity   : System.Threading.ExecutionContext:RunInternal(ExecutionContext, Con
09-27 02:43:08.192 30575 30610 I Unity   : [02:43:08.191] [INFO] [Network/NetworkGameManager] Client 게임 참가 완료 (매칭 — CreateOrJoin)
09-27 02:43:08.192 30575 30610 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
09-27 02:43:08.192 30575 30610 I Unity   : Hexiege.Infrastructure.ConsoleSink:Write(LogLevel, String, String, String, String, Exception)
09-27 02:43:08.192 30575 30610 I Unity   : Hexiege.Application.GameLog:Emit(LogLevel, Nullable`1, String, String, String, String, Exception)
09-27 02:43:08.192 30575 30610 I Unity   : Hexiege.Infrastructure.<JoinMatchmadeGameAsync>d__52:MoveNext()
09-27 02:43:08.192 30575 30610 I Unity   : System.Threading.ExecutionContext:RunInternal(ExecutionContext, ContextCallback, Object, Boolean)
09-27 02:43:08.192 30575 30610 I Unity   : System.Runtime.CompilerServices.MoveNextRunner:Run()
09-27 02:43:08.192 30575 30610 I Unity   : System.Threading.Tasks.AwaitTaskContinuation:RunCallback(ContextCallback, Object, Task&)
09-27 02:43:08.192 30575 30610 I Unity   : System.Threading.Tasks.Task:FinishContinuations()
09-27 02:43:08.192 30575 30610 I Unity   : System.Threading.Tasks.Task`1:TrySetResult(TResult)
09-27 02:43:08.192 30575 30610 I Unity   : System.Runtime.CompilerServices.AsyncTaskMethodBuilder`1:SetResult(TResult)
09-27 02:43:08.192 30575 30610 I Unity   : Hexiege.Infrastructure.<JoinRelayAsync>d__3:MoveNext()
09-27 02:43:08.192 30575 30610 I Unity   : System.Threading.ExecutionContext:RunInternal(ExecutionContext, ContextCallback, Object, Boolean)
09-27 02:43:08.192 30575 30610 I Unity   : System.Runtime
09-27 02:43:08.193 30575 30610 I Unity   : SetGameState: isLoading: false, mode: UNKNOWN, label: 1, quality: 0
09-27 02:43:09.989 30575 30610 I Unity   : [02:43:09.977] [INFO] [Network/NetworkMapTransfer] 맵 전송 객체 스폰 완료 | Role=Client, IsServer=False, NetworkObjectId=1, State=Idle
09-27 02:43:09.989 30575 30610 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
09-27 02:43:09.989 30575 30610 I Unity   : Hexiege.Infrastructure.ConsoleSink:Write(LogLevel, String, String, String, String, Exception)
09-27 02:43:09.989 30575 30610 I Unity   : Hexiege.Application.GameLog:Emit(LogLevel, Nullable`1, String, String, String, String, Exception)
09-27 02:43:09.989 30575 30610 I Unity   : Hexiege.Infrastructure.NetworkMapTransfer:OnNetworkSpawn()
09-27 02:43:09.989 30575 30610 I Unity   : Unity.Netcode.NetworkBehaviour:NetworkSpawn()
09-27 02:43:09.989 30575 30610 I Unity   : Unity.Netcode.NetworkObject:InvokeBehaviourNetworkSpawn()
09-27 02:43:09.989 30575 30610 I Unity   : Unity.Netcode.NetworkSpawnManager:SpawnNetworkObjectLocallyCommon(NetworkObject, UInt64, Boolean, Boolean, UInt64, Boolean)
09-27 02:43:09.989 30575 30610 I Unity   : Unity.Netcode.NetworkSpawnManager:NonAuthorityLocalSpawn(NetworkObject, SerializedObject&, Boolean)
09-27 02:43:09.989 30575 30610 I Unity   : Unity.Netcode.NetworkObject:Deserialize(SerializedObject&, FastBufferReader, NetworkManager, Boolean)
09-27 02:43:09.989 30575 30610 I Unity   : Unity.Netcode.ForwardClientRpcMessage:Handle(NetworkContext&)
09-27 02:43:09.989 30575 30610 I Unity   : Unity.Netcode.CreateObjectMessage:Handle(NetworkContext&)
09-27 02:43:09.989 30575 30610 I Unity   : U
09-27 02:43:09.992 30575 30610 I Unity   : [02:43:09.991] [INFO] [Network/NetworkMapTransfer] 맵 전송 상태 전이 — 시작 통보 수신 | Role=Client, PreviousState=Idle, State=Receiving, Nonce=1
09-27 02:43:09.992 30575 30610 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
09-27 02:43:09.992 30575 30610 I Unity   : Hexiege.Infrastructure.ConsoleSink:Write(LogLevel, String, String, String, String, Exception)
09-27 02:43:09.992 30575 30610 I Unity   : Hexiege.Application.GameLog:Emit(LogLevel, Nullable`1, String, String, String, String, Exception)
09-27 02:43:09.992 30575 30610 I Unity   : Hexiege.Infrastructure.NetworkMapTransfer:SetState(MapTransferState, String)
09-27 02:43:09.992 30575 30610 I Unity   : Hexiege.Infrastructure.NetworkMapTransfer:MapPrepareBeginClientRpc(UInt64, Int32, Int32, Int32, Int32, Byte[], Boolean, Int32)
09-27 02:43:09.992 30575 30610 I Unity   : Hexiege.Infrastructure.NetworkMapTransfer:__rpc_handler_3811206690(NetworkBehaviour, FastBufferReader, __RpcParams)
09-27 02:43:09.992 30575 30610 I Unity   : Unity.Netcode.RpcMessageHelpers:Handle(NetworkContext&, RpcMetadata&, FastBufferReader&, __RpcParams&)
09-27 02:43:09.992 30575 30610 I Unity   : Unity.Netcode.ClientRpcMessage:Handle(NetworkContext&)
09-27 02:43:09.992 30575 30610 I Unity   : Unity.Netcode.NetworkMessageManager:ReceiveMessage(FastBufferReader, NetworkContext&, NetworkMessageManager)
09-27 02:43:09.992 30575 30610 I Unity   : Unity.
09-27 02:43:09.995 30575 30610 I Unity   : [02:43:09.994] [INFO] [Network/NetworkMapTransfer] 시작 통보 수신 — 재조립기를 준비했다 | Nonce=1, MapVersion=2, TotalBytes=339, ChunkSize=1024, ChunkCount=1, Round=First, IsProbe=False, ReceiveCount=1, Hash=e805a4c20a101107
09-27 02:43:09.995 30575 30610 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
09-27 02:43:09.995 30575 30610 I Unity   : Hexiege.Infrastructure.ConsoleSink:Write(LogLevel, String, String, String, String, Exception)
09-27 02:43:09.995 30575 30610 I Unity   : Hexiege.Application.GameLog:Emit(LogLevel, Nullable`1, String, String, String, String, Exception)
09-27 02:43:09.995 30575 30610 I Unity   : Hexiege.Infrastructure.NetworkMapTransfer:MapPrepareBeginClientRpc(UInt64, Int32, Int32, Int32, Int32, Byte[], Boolean, Int32)
